Total Nacional;Comunidades y Ciudades Autónomas;General, vivienda nueva y de segunda mano;Índices y tasas;Periodo;Total
Nacional;12 Galicia;General;Índice;2021T4;122,678
Nacional;12 Galicia;General;Índice;2021T3;121,530
Nacional;12 Galicia;General;Índice;2021T2;118,952
Nacional;12 Galicia;General;Índice;2021T1;115,961
Nacional;12 Galicia;General;Índice;2020T4;114,833
Nacional;12 Galicia;General;Índice;2020T3;114,881
Nacional;12 Galicia;General;Índice;2020T2;114,935
Nacional;12 Galicia;General;Índice;2020T1;113,415
Nacional;12 Galicia;General;Índice;2019T4;113,514
Nacional;12 Galicia;General;Índice;2019T3;112,716
Nacional;12 Galicia;General;Índice;2019T2;111,946
Nacional;12 Galicia;General;Índice;2019T1;109,816
Nacional;13 Madrid, Comunidad de;General;Índice;2025T4;207,668
Nacional;13 Madrid, Comunidad de;General;Índice;2025T3;204,059
Nacional;13 Madrid, Comunidad de;General;Índice;2025T2;197,688
Nacional;13 Madrid, Comunidad de;General;Índice;2025T1;188,426
Nacional;13 Madrid, Comunidad de;General;Índice;2024T4;181,836
Nacional;13 Madrid, Comunidad de;General;Índice;2024T3;178,650
Nacional;13 Madrid, Comunidad de;General;Índice;2024T2;174,536
Nacional;13 Madrid, Comunidad de;General;Índice;2024T1;168,785
Nacional;13 Madrid, Comunidad de;General;Índice;2023T4;164,821
Nacional;13 Madrid, Comunidad de;General;Índice;2023T3;166,589
Nacional;13 Madrid, Comunidad de;General;Índice;2023T2;162,841
Nacional;13 Madrid, Comunidad de;General;Índice;2023T1;159,407
Nacional;13 Madrid, Comunidad de;General;Índice;2022T4;157,779
Nacional;13 Madrid, Comunidad de;General;Índice;2022T3;160,024
Nacional;13 Madrid, Comunidad de;General;Índice;2022T2;156,460
Nacional;13 Madrid, Comunidad de;General;Índice;2022T1;154,666
Nacional;13 Madrid, Comunidad de;General;Índice;2021T4;150,345
Nacional;13 Madrid, Comunidad de;General;Índice;2021T3;148,701
Nacional;13 Madrid, Comunidad de;General;Índice;2021T2;145,849
Nacional;13 Madrid, Comunidad de;General;Índice;2021T1;143,929
Nacional;13 Madrid, Comunidad de;General;Índice;2020T4;142,540
Nacional;13 Madrid, Comunidad de;General;Índice;2020T3;144,599
Nacional;13 Madrid, Comunidad de;General;Índice;2020T2;143,130
Nacional;13 Madrid, Comunidad de;General;Índice;2020T1;143,971
Nacional;13 Madrid, Comunidad de;General;Índice;2019T4;140,469
Nacional;13 Madrid, Comunidad de;General;Índice;2019T3;142,864
Nacional;13 Madrid, Comunidad de;General;Índice;2019T2;140,795
Nacional;13 Madrid, Comunidad de;General;Índice;2019T1;140,440
Nacional;14 Murcia, Región de;General;Índice;2025T4;171,780
Nacional;14 Murcia, Región de;General;Índice;2025T3;167,963
Nacional;14 Murcia, Región de;General;Índice;2025T2;162,666
Nacional;14 Murcia, Región de;General;Índice;2025T1;154,993
Nacional;14 Murcia, Región de;General;Índice;2024T4;150,180
Nacional;14 Murcia, Región de;General;Índice;2024T3;146,067
Nacional;14 Murcia, Región de;General;Índice;2024T2;141,981
Nacional;14 Murcia, Región de;General;Índice;2024T1;136,839
Nacional;14 Murcia, Región de;General;Índice;2023T4;134,506
Nacional;14 Murcia, Región de;General;Índice;2023T3;133,986
Nacional;14 Murcia, Región de;General;Índice;2023T2;132,087
Nacional;14 Murcia, Región de;General;Índice;2023T1;129,441
Nacional;14 Murcia, Región de;General;Índice;2022T4;129,533
Nacional;14 Murcia, Región de;General;Índice;2022T3;131,001
Nacional;14 Murcia, Región de;General;Índice;2022T2;130,258
Nacional;14 Murcia, Región de;General;Índice;2022T1;127,267
Nacional;14 Murcia, Región de;General;Índice;2021T4;123,591
Nacional;14 Murcia, Región de;General;Índice;2021T3;122,360
Nacional;14 Murcia, Región de;General;Índice;2021T2;119,124
Nacional;14 Murcia, Región de;General;Índice;2021T1;116,235
Nacional;14 Murcia, Región de;General;Índice;2020T4;115,914
Nacional;14 Murcia, Región de;General;Índice;2020T3;115,122
Nacional;14 Murcia, Región de;General;Índice;2020T2;114,141
Nacional;14 Murcia, Región de;General;Índice;2020T1;112,336
Nacional;14 Murcia, Región de;General;Índice;2019T4;112,501
Nacional;14 Murcia, Región de;General;Índice;2019T3;111,729
Nacional;14 Murcia, Región de;General;Índice;2019T2;110,954
Nacional;14 Murcia, Región de;General;Índice;2019T1;108,708
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2025T4;167,127
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2025T3;166,609
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2025T2;162,614
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2025T1;156,050
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2024T4;150,034
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2024T3;150,225
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2024T2;145,143
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2024T1;140,034
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2023T4;132,884
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2023T3;135,687
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2023T2;131,585
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2023T1;130,110
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2022T4;126,950
