Total Nacional;Comunidades y Ciudades Autónomas;General, vivienda nueva y de segunda mano;Índices y tasas;Periodo;Total
Nacional;10 Comunitat Valenciana;General;Variación trimestral;2023T4;-1,0
Nacional;10 Comunitat Valenciana;General;Variación trimestral;2023T3;2,6
Nacional;10 Comunitat Valenciana;General;Variación trimestral;2023T2;2,3
Nacional;10 Comunitat Valenciana;General;Variación trimestral;2023T1;0,4
Nacional;10 Comunitat Valenciana;General;Variación trimestral;2022T4;-0,2
Nacional;10 Comunitat Valenciana;General;Variación trimestral;2022T3;1,0
Nacional;10 Comunitat Valenciana;General;Variación trimestral;2022T2;2,2
Nacional;10 Comunitat Valenciana;General;Variación trimestral;2022T1;2,0
Nacional;10 Comunitat Valenciana;General;Variación trimestral;2021T4;1,5
Nacional;10 Comunitat Valenciana;General;Variación trimestral;2021T3;2,0
Nacional;10 Comunitat Valenciana;General;Variación trimestral;2021T2;3,0
Nacional;10 Comunitat Valenciana;General;Variación trimestral;2021T1;0,0
Nacional;10 Comunitat Valenciana;General;Variación trimestral;2020T4;-0,2
Nacional;10 Comunitat Valenciana;General;Variación trimestral;2020T3;1,4
Nacional;10 Comunitat Valenciana;General;Variación trimestral;2020T2;0,0
Nacional;10 Comunitat Valenciana;General;Variación trimestral;2020T1;0,4
Nacional;10 Comunitat Valenciana;General;Variación trimestral;2019T4;0,2
Nacional;10 Comunitat Valenciana;General;Variación trimestral;2019T3;1,0
Nacional;10 Comunitat Valenciana;General;Variación trimestral;2019T2;1,9
Nacional;10 Comunitat Valenciana;General;Variación trimestral;2019T1;0,7
Nacional;11 Extremadura;General;Variación trimestral;2025T4;1,5
Nacional;11 Extremadura;General;Variación trimestral;2025T3;2,9
Nacional;11 Extremadura;General;Variación trimestral;2025T2;4,6
Nacional;11 Extremadura;General;Variación trimestral;2025T1;3,9
Nacional;11 Extremadura;General;Variación trimestral;2024T4;0,6
Nacional;11 Extremadura;General;Variación trimestral;2024T3;2,6
Nacional;11 Extremadura;General;Variación trimestral;2024T2;3,5
Nacional;11 Extremadura;General;Variación trimestral;2024T1;2,2
Nacional;11 Extremadura;General;Variación trimestral;2023T4;-0,2
Nacional;11 Extremadura;General;Variación trimestral;2023T3;0,6
Nacional;11 Extremadura;General;Variación trimestral;2023T2;3,0
Nacional;11 Extremadura;General;Variación trimestral;2023T1;-1,2
Nacional;11 Extremadura;General;Variación trimestral;2022T4;-1,3
Nacional;11 Extremadura;General;Variación trimestral;2022T3;1,3
Nacional;11 Extremadura;General;Variación trimestral;2022T2;2,3
Nacional;11 Extremadura;General;Variación trimestral;2022T1;0,5
Nacional;11 Extremadura;General;Variación trimestral;2021T4;2,2
Nacional;11 Extremadura;General;Variación trimestral;2021T3;0,2
Nacional;11 Extremadura;General;Variación trimestral;2021T2;3,8
Nacional;11 Extremadura;General;Variación trimestral;2021T1;-1,4
Nacional;11 Extremadura;General;Variación trimestral;2020T4;0,3
Nacional;11 Extremadura;General;Variación trimestral;2020T3;-1,0
Nacional;11 Extremadura;General;Variación trimestral;2020T2;1,9
Nacional;11 Extremadura;General;Variación trimestral;2020T1;-0,8
Nacional;11 Extremadura;General;Variación trimestral;2019T4;-0,2
Nacional;11 Extremadura;General;Variación trimestral;2019T3;0,3
Nacional;11 Extremadura;General;Variación trimestral;2019T2;1,0
Nacional;11 Extremadura;General;Variación trimestral;2019T1;1,1
Nacional;12 Galicia;General;Variación trimestral;2025T4;1,9
Nacional;12 Galicia;General;Variación trimestral;2025T3;3,2
Nacional;12 Galicia;General;Variación trimestral;2025T2;4,7
Nacional;12 Galicia;General;Variación trimestral;2025T1;3,5
Nacional;12 Galicia;General;Variación trimestral;2024T4;1,3
Nacional;12 Galicia;General;Variación trimestral;2024T3;2,7
Nacional;12 Galicia;General;Variación trimestral;2024T2;3,3
Nacional;12 Galicia;General;Variación trimestral;2024T1;2,9
Nacional;12 Galicia;General;Variación trimestral;2023T4;-1,7
Nacional;12 Galicia;General;Variación trimestral;2023T3;2,1
Nacional;12 Galicia;General;Variación trimestral;2023T2;1,8
Nacional;12 Galicia;General;Variación trimestral;2023T1;1,3
Nacional;12 Galicia;General;Variación trimestral;2022T4;-0,6
Nacional;12 Galicia;General;Variación trimestral;2022T3;0,7
Nacional;12 Galicia;General;Variación trimestral;2022T2;2,0
Nacional;12 Galicia;General;Variación trimestral;2022T1;2,4
Nacional;12 Galicia;General;Variación trimestral;2021T4;0,9
Nacional;12 Galicia;General;Variación trimestral;2021T3;2,2
Nacional;12 Galicia;General;Variación trimestral;2021T2;2,6
Nacional;12 Galicia;General;Variación trimestral;2021T1;1,0
Nacional;12 Galicia;General;Variación trimestral;2020T4;0,0
Nacional;12 Galicia;General;Variación trimestral;2020T3;0,0
Nacional;12 Galicia;General;Variación trimestral;2020T2;1,3
Nacional;12 Galicia;General;Variación trimestral;2020T1;-0,1
Nacional;12 Galicia;General;Variación trimestral;2019T4;0,7
Nacional;12 Galicia;General;Variación trimestral;2019T3;0,7
Nacional;12 Galicia;General;Variación trimestral;2019T2;1,9
Nacional;12 Galicia;General;Variación trimestral;2019T1;0,5
Nacional;13 Madrid, Comunidad de;General;Variación trimestral;2025T4;1,8
Nacional;13 Madrid, Comunidad de;General;Variación trimestral;2025T3;3,2
Nacional;13 Madrid, Comunidad de;General;Variación trimestral;2025T2;4,9
Nacional;13 Madrid, Comunidad de;General;Variación trimestral;2025T1;3,6
